Unnamed: 0,Transaction_Id,Transaction Date,Customer_Id,Quantity,Price,Payment Method,Transaction Status,Products
295,T0296,2025-02-30,C1221,-10,-189.2,Credit Card,Completed,Coffee Machine
296,T0297,2023-13-01,C3928,160,581.14,PayPal ,Completed,Laptop
298,T0299,26-Nov-20,C1664,-3,132.95,Credit Card,Pending,Headphones
302,T0303,28-Dec-20,C4785,-1,-631.36,Credit Card,Completed,Smartphone
303,T0304,12-Apr-22,C1803,5,140.62,PayPal ,Completed,Laptop
305,T0306,2023-13-01,C1422,-4,-696.04,Credit Card,Completed,Smartphone
306,T0307,2025-02-30,C4222,-5,-267.86,Credit Card,Pending,Headphones
307,T0308,2023-13-01,C4265,9,488.86,Credit Card,Failed,Tablet
312,T0313,30-Jun-21,C654,-4,-776.07,Cash,Failed,Coffee Machine
313,T0314,2023-13-01,C3587,4,221.09,Cash,Pending,Headphones
314,T0315,2023-13-01,C842,4,-421.93,Credit Card,Completed,Table
315,T0316,2025-02-30,C4410,10,-496.12,Credit Card,Completed,Headphones
316,T0317,19-Sep-22,C4635,-1,983.62,Credit Card,Completed,Smartphone
318,T0319,14-Jan-20,C3479,410,-424.92,PayPal ,Completed,Headphones
325,T0326,2025-02-30,C4321,2,488.31,PayPal,Completed,Laptop
327,T0328,9-Oct-24,C1878,989,-448.09,Cash,Completed,Headphones
329,T0330,2025-02-30,C4439,8,-219.55,PayPal,Failed,Coffee Machine
334,T0335,2025-02-30,C4468,10,747.57,Credit Card,Completed,Headphones
336,T0337,2-Mar-23,C4233,118,-959.18,Cash,Completed,Tablet
337,T0338,10-Apr-23,C4411,-10,-990.57,Cash,Pending,Coffee Machine
338,T0339,3-Aug-21,C3229,-1,-369.14,Cash,Completed,Coffee Machine
339,T0340,2025-02-30,C1143,-10,291.5,Credit Card,Completed,Headphones
340,T0341,2023-13-01,C2312,1,894.17,PayPal,Failed,Head
341,T0342,2023-13-01,C910,583,479.43,Cash,Failed,Smartphone
346,T0347,2025-02-30,C3956,942,251.23,PayPal ,Pending,Smartphone
351,T0352,16-Oct-22,C2080,-2,823,Cash,Completed,Table
352,T0353,2023-13-01,C048,761,193.23,Credit Card,Completed,Laptop
354,T0355,26-Apr-21,C1559,5,-742.9,PayPal ,Failed,Tablet
355,T0356,2023-13-01,C925,-7,-586.26,PayPal,Completed,Tablet
357,T0358,26-Jan-22,C215,481,505.1,Cash,Completed,Headphones
358,T0359,29-Nov-22,C3357,726,-243.71,PayPal ,Pending,Headphones
363,T0364,2023-13-01,C2560,-9,-678.48,Cash,Completed,Smartphone
364,T0365,2025-02-30,C2424,-10,-532.1,PayPal,Pending,Tablet
368,T0369,2025-02-30,C2751,-8,-703.21,Cash,Failed,Coffee Machine
371,T0372,2025-02-30,C1373,-1,450.56,Credit Card,Pending,Laptop
372,T0373,7-Feb-20,C1963,7,-505.84,Credit Card,Pending,Coffee Machine
375,T0376,2025-02-30,C4647,383,-177.45,Credit Card,Pending,Headphones
376,T0377,2025-02-30,C3781,858,83.36,PayPal ,Pending,Smartphone
377,T0378,2023-13-01,C1333,513,-653.18,PayPal,Completed,Tablet
378,T0379,2025-02-30,C4606,-6,648.9,Credit Card,Failed,Smartphone
380,T0381,2023-13-01,C3844,8,660.94,Cash,Failed,Coffee Machine
382,T0383,18-Sep-20,C218,-3,111.89,PayPal ,Completed,Tablet
385,T0386,13-Apr-23,C3257,-10,-587.76,PayPal ,Completed,Smartphone
386,T0387,2023-13-01,C2676,317,522.25,Credit Card,Pending,Laptop
389,T0390,2025-02-30,C1247,-5,-100.58,Credit Card,Completed,Headphones
392,T0393,2023-13-01,C1948,953,-477.48,Cash,Completed,Headphones
397,T0398,2025-02-30,C1737,9,911.54,Cash,Completed,Tablet
403,T0404,2023-13-01,C1601,528,61.28,PayPal,Pending,Tablet
406,T0407,2025-02-30,C2883,-5,801.15,Credit Card,Completed,Laptop
414,T0415,2023-13-01,C3427,249,-850.27,Credit Card,Pending,Headphones
417,T0418,2025-02-30,C426,6,801.34,Credit Card,Pending,Coffee Machine
422,T0423,20-Dec-21,C898,-4,-552.08,Credit Card,Pending,Headphones
424,T0425,2023-13-01,C559,549,-976.65,PayPal,Completed,Coffee Machine
427,T0428,2023-13-01,C2950,331,-269.67,Cash,Failed,Smartphone
428,T0429,2023-13-01,C3847,6,-298.41,Credit Card,Failed,Tablet
429,T0430,2025-02-30,C2109,10,-636.79,PayPal,Failed,Coffee Machine
430,T0431,10-Jan-24,C1515,701,-877.26,Credit Card,Pending,Tablet
433,T0434,14-Sep-21,C4958,-4,-830.75,Credit Card,Completed,Tablet
436,T0437,2023-13-01,C4213,269,71.97,Credit Card,Completed,Tablet
438,T0439,2023-13-01,C3755,582,-589.01,Credit Card,Completed,Smartphone
441,T0442,2025-02-30,C985,726,-162.39,PayPal,Failed,Tablet
442,T0443,20-Sep-22,C1659,3,-158.6,Cash,Completed,Coffee Machine
444,T0445,2023-13-01,C2279,9,-924.43,Cash,Pending,Tablet
445,T0446,2023-13-01,C2425,197,449.4,PayPal ,Failed,Laptop
448,T0449,18-Apr-24,C1428,908,-664.37,Credit Card,Pending,Headphones
451,T0452,2023-13-01,C1047,5,55.56,Credit Card,Completed,Coffee Machine
452,T0453,2025-02-30,C3641,1,960.58,PayPal,Failed,Headphones
459,T0460,2023-13-01,C3169,10,-272.76,PayPal,Failed,Coffee Mac
461,T0462,2025-02-30,C762,4,219.89,Credit Card,Failed,Headphones
464,T0465,2023-13-01,C4371,-8,443.11,PayPal ,Completed,Laptop
467,T0468,2-Apr-22,C2171,-4,632.65,PayPal,Completed,Coffee Machine
472,T0473,2025-02-30,C3037,-3,622.99,Cash,Completed,Headphones
473,T0474,2025-02-30,C1854,-3,825.18,PayPal,Pending,Coffee Machine
474,T0475,27-Aug-20,C3914,3,73.31,PayPal,Completed,Tablet
477,T0478,26-Jun-24,C4896,178,124.31,Cash,Completed,Headphones
478,T0479,2025-02-30,C1634,5,392.56,Credit Card,Completed,Coffee 
481,T0482,2023-13-01,C708,374,-971.09,Credit Card,Pending,Laptop
482,T0483,2023-13-01,C2222,-8,-604.33,PayPal,Completed,Coffee Ma
484,T0485,2023-13-01,C4043,331,117.11,PayPal,Failed,Coffee Machine
485,T0486,1-Jan-21,C1245,-3,954.28,Cash,Completed,Laptop
487,T0488,2023-13-01,C4096,7,256.39,PayPal,Pending,Tablet
488,T0489,2-Apr-21,C1507,567,-534.75,PayPal ,Completed,Smartphone
491,T0492,2023-13-01,C3936,6,814.02,PayPal,Completed,Sm
492,T0493,2025-02-30,C1760,-9,-687.91,Cash,Pending,Headphones
497,T0498,2023-13-01,C4250,-10,-481.43,PayPal,Completed,Coffee
498,T0499,2025-02-30,C613,-4,296.68,PayPal,Pending,Tablet
512,T0513,2025-02-30,C919,-10,382.4,Cash,Completed,Coffee Machine
514,T0515,2023-13-01,C4635,-10,551.91,Cash,Pending,Headphones
515,T0516,2025-02-30,C2937,862,683.56,PayPal,Completed,Tablet
519,T0520,2023-13-01,C3992,542,341.75,Cash,Completed,Headphones
522,T0523,8-Sep-22,C063,-4,298.16,Cash,Pending,Coffee Machine
523,T0524,9-Apr-21,C2023,849,-500,PayPal ,Completed,Headphones
525,T0526,11-Dec-24,C3889,3,901.39,PayPal,Failed,Coffee Machine
526,T0527,11-Jun-20,C4693,-7,-111.37,Cash,Failed,Headphones
528,T0529,2023-13-01,C965,9,-914.23,Cash,Completed,Laptop
529,T0530,2023-13-01,C2610,10,-869.68,Cash,Completed,Headphones
533,T0534,18-Apr-23,C2446,451,318.05,PayPal,Failed,Smartphone
534,T0535,2025-02-30,C1538,770,-419.13,PayPal,Pending,Coffee Machine
536,T0537,2023-13-01,C1270,1,997.81,Credit Card,Completed,Headphones
539,T0540,2025-02-30,C3488,869,-598.35,PayPal,Failed,Laptop
541,T0542,9-Nov-22,C2130,-6,500.01,Credit Card,Failed,Laptop
542,T0543,13-Mar-20,C3429,-7,100.19,Credit Card,Failed,Headphones
543,T0544,2025-02-30,C4373,2,-51.99,PayPal,Completed,Smartphone
544,T0545,2023-13-01,C2184,563,-179.34,Cash,Pending,Smartphone
545,T0546,2023-13-01,C3269,574,87.38,Credit Card,Completed,Laptop
546,T0547,2023-13-01,C1632,1,-265.07,Cash,Completed,Headphones
547,T0548,2025-02-30,C3568,7,422,Cash,Failed,Tablet
550,T0551,20-Oct-24,C1351,7,677.9,PayPal ,Completed,Coffee Machine
560,T0561,2025-02-30,C1014,815,178.71,PayPal,Failed,Smartphone
562,T0563,2025-02-30,C4369,852,369.22,Cash,Pending,Tablet
564,T0565,25-Nov-23,C577,777,740.84,PayPal ,Failed,Headphones
567,T0568,2025-02-30,C2090,3,927.98,PayPal,Completed,Coffee Machine
570,T0571,2023-13-01,C3260,974,885.87,PayPal ,Completed,Headphones
571,T0572,2023-13-01,C2175,5,297.41,PayPal,Completed,Smartphone
572,T0573,2023-13-01,C473,-6,186.39,Credit Card,Completed,Tablet
573,T0574,2023-13-01,C672,3,918.36,Credit Card,Failed,Laptop
575,T0576,21-Oct-20,C3653,487,-462.56,Cash,Failed,Laptop
577,T0578,2025-02-30,C1265,-10,650.26,PayPal,Completed,Coffee Machine
579,T0580,2025-02-30,C747,-3,-583.84,PayPal,Completed,Smartphone
581,T0582,2023-13-01,C1054,-5,-615.61,Credit Card,Failed,Coffee Machine
582,T0583,2025-02-30,C3821,958,-923.23,Credit Card,Failed,Tablet
586,T0587,21-Mar-20,C4690,5,-758.22,Credit Card,Failed,Headphones
587,T0588,3-Nov-20,C584,3,-980.85,Credit Card,Completed,Tablet
593,T0594,2025-02-30,C2206,-7,853.75,Credit Card,Completed,Tablet
595,T0596,25-May-20,C4981,980,930.04,Credit Card,Failed,Smartphone
597,T0598,2025-02-30,C3212,-9,-282.22,Credit Card,Pending,Smartphone
603,T0604,2023-13-01,C3635,-2,958.77,Credit Card,Pending,Tablet
608,T0609,2023-13-01,C3993,675,791.49,Cash,Failed,Tablet
609,T0610,2023-13-01,C4186,5,-776.51,PayPal,Completed,Smartphone
613,T0614,2023-13-01,C2261,159,776.79,Credit Card,Pending,Tablet
614,T0615,2025-02-30,C650,3,-942.14,Credit Card,Failed,Smartphone
616,T0617,2025-02-30,C661,378,-674.12,Credit Card,Completed,Tablet
622,T0623,2023-13-01,C3513,-10,-70.69,PayPal,Completed,Coffee Ma
623,T0624,2025-02-30,C1362,6,-876.53,PayPal,Completed,Laptop
627,T0628,8-Nov-21,C3224,-4,-967.4,Credit Card,Completed,Tablet
629,T0630,2025-02-30,C530,6,-220.01,PayPal ,Completed,Laptop
630,T0631,2023-13-01,C2746,586,-369.34,Cash,Completed,Headphones
631,T0632,13-Apr-20,C1982,638,362.29,Credit Card,Failed,Headphones
632,T0633,2025-02-30,C2926,407,-833.52,Cash,Completed,Laptop
634,T0635,2025-02-30,C2327,306,437.38,Cash,Completed,Coffee Machine
635,T0636,2023-13-01,C4848,4,-544.26,PayPal,Failed,Coffee Machine
636,T0637,2023-13-01,C4796,911,-477.52,Credit Card,Completed,Smartphone
637,T0638,19-Jul-24,C3044,4,464.52,PayPal,Completed,Tablet
640,T0641,15-Jul-24,C2354,-7,64.17,PayPal,Completed,Laptop
641,T0642,17-Nov-20,C4965,-1,-378.96,Credit Card,Completed,Tablet
642,T0643,9-Apr-21,C4347,-4,841.3,Cash,Failed,Laptop
643,T0644,2025-02-30,C1576,-1,-532.07,Credit Card,Completed,Headphones
646,T37318,7-May-21,C2292,6,-240.64,Cash,Completed,Laptop
649,T0650,2025-02-30,C3596,-10,-196.93,PayPal,Completed,Headphones
650,T0651,2023-13-01,C4638,8,-838.82,PayPal ,Completed,Laptop
652,T0653,2025-02-30,C1919,312,-156.84,Credit Card,Pending,Tablet
653,T0654,2023-13-01,C1774,-10,945.32,Credit Card,Failed,Smartphone
654,T0655,2023-13-01,C496,5,772.7,PayPal ,Completed,Smartphone
655,T0656,2025-02-30,C1574,443,-200.6,PayPal,Completed,Headphones
657,T0658,2023-13-01,C3333,212,-928.86,PayPal,Completed,Laptop
661,T0662,2025-02-30,C4732,-7,-148.38,Credit Card,Failed,Laptop
664,T0665,2023-13-01,C4901,-2,366.28,PayPal,Pending,Tablet
666,T0667,2025-02-30,C195,381,-986.37,Credit Card,Pending,Laptop
667,T0668,2023-13-01,C4075,435,-496.21,PayPal,Completed,Headphones
668,T0669,2023-13-01,C3559,2,-396.06,Credit Card,Failed,Coffee Machine
670,T0671,2023-13-01,C653,-9,769.32,PayPal,Failed,Smartphone
671,T0672,2025-02-30,C4800,4,913.14,Credit Card,Completed,Headphones
672,T0673,2025-02-30,C3660,480,334.85,Credit Card,Failed,Coffee Machine
674,T0675,28-Jul-21,C2617,2,235.73,Credit Card,Completed,Laptop
675,T0676,2025-02-30,C3656,288,-58.3,PayPal,Pending,Laptop
677,T0678,2025-02-30,C3766,467,749.7,Credit Card,Completed,Laptop
678,T0679,7-Jun-22,C1139,465,-658.46,PayPal,Completed,Laptop
680,T0681,2023-13-01,C4967,435,474.13,Credit Card,Failed,Smartphone
682,T0683,2025-02-30,C4261,-4,-951.18,Credit Card,Completed,Laptop
684,T0685,2025-02-30,C643,800,468.69,PayPal ,Completed,Smartphone
685,T0686,2025-02-30,C4087,8,-265.11,Credit Card,Pending,Coffee Machine
686,T0687,2023-13-01,C1454,-6,-578.76,PayPal,Completed,Coffee Machine
687,T0688,21-Dec-21,C2605,-10,164.98,Credit Card,Failed,Headphones
688,T0689,16-May-21,C2384,-9,-382.75,Cash,Failed,Coffee Machine
690,T0691,8-Oct-21,C1483,-5,-900.75,Cash,Completed,Headphones
692,T0693,2025-02-30,C3795,3,-324.7,Credit Card,Completed,Headphones
694,T0695,10-Mar-23,C028,6,-316.18,PayPal,Pending,Headphones
697,T0698,23-Jan-22,C1771,169,320.65,Credit Card,Completed,Tablet
698,T0699,2023-13-01,C427,8,-485.34,PayPal ,Completed,Coffee Machine
699,T0700,2025-02-30,C2013,725,56.16,PayPal,Pending,Laptop
700,T0701,4-Dec-22,C1296,-5,200.84,PayPal,Completed,Headphones
701,T0702,2025-02-30,C2393,-8,-448.19,PayPal ,Completed,Headphones
702,T0703,2023-13-01,C2592,-3,-908.86,Credit Card,Failed,Coffee Machine
703,T0704,2023-13-01,C2161,-10,73.97,PayPal,Failed,Headphones
707,T0708,10-Oct-23,C919,163,119.55,Cash,Completed,Tablet
708,T0709,2025-02-30,C3375,4,634.75,Cash,Completed,Smartphone
709,T0710,2025-02-30,C188,-1,786.97,PayPal,Completed,Smartphone
710,T0711,2023-13-01,C3617,714,-712.03,Credit Card,Completed,Laptop
711,T0712,2023-13-01,C3751,-4,-528.49,Credit Card,Failed,Smartphone
712,T0713,20-Jan-22,C675,8,808.57,PayPal ,Completed,Headphones
716,T0717,2025-02-30,C3910,-9,-547.64,Credit Card,Completed,Tablet
718,T0719,2025-02-30,C1497,602,438.71,Credit Card,Failed,Tablet
722,T0723,2025-02-30,C3145,7,-909.52,Credit Card,Pending,Coffee Machine
728,T0729,2025-02-30,C1747,2,783.94,PayPal,Completed,T
731,T0732,2023-13-01,C391,-6,57.98,Cash,Completed,Coffee Machine
733,T0734,3-Mar-22,C3468,803,-452.13,Credit Card,Completed,Tablet
734,T0735,15-Dec-24,C4246,8,-350.64,Credit Card,Completed,Coffee Machine
736,T0737,2023-13-01,C2027,592,-974.75,PayPal ,Completed,Smartphone
737,T0738,13-May-20,C2824,-4,348.36,PayPal,Completed,Laptop
739,T0740,2023-13-01,C2895,502,-704.61,Credit Card,Completed,Headphones
740,T0741,2023-13-01,C1609,-10,-205.16,Cash,Failed,Smartphone
741,T0742,2025-02-30,C1854,994,-487.52,Cash,Completed,Coffee Machine
743,T0744,1-May-20,C219,9,-50.7,Credit Card,Completed,Tablet
745,T0746,2025-02-30,C594,-1,-755.08,Credit Card,Pending,Tablet
746,T0747,22-Jan-20,C4819,6,580.58,PayPal ,Completed,Smartphone
748,T0749,3-Nov-23,C3051,1,532.78,Credit Card,Pending,Coffee Machine
749,T0750,2023-13-01,C4706,-2,-152.24,PayPal,Failed,Laptop
753,T0754,2025-02-30,C2091,5,625.32,PayPal ,Pending,Headphones
755,T0756,2025-02-30,C4014,6,562.71,PayPal,Failed,Coffee Machine
756,T0757,2023-13-01,C778,6,380.24,PayPal,Pending,Smartphone
758,T0759,2023-13-01,C2095,4,-153.56,PayPal ,Failed,Coffee Machine
759,T0760,2023-13-01,C4296,715,-559.36,PayPal ,Pending,Headphones
761,T0762,2023-13-01,C3048,292,260,Credit Card,Completed,Coffee Machine
762,T0763,20-Mar-21,C2880,-3,626,Cash,Completed,Headphones
764,T0765,2025-02-30,C462,970,-132.8,Credit Card,Completed,Headphones
766,T0767,6-Mar-21,C3584,6,666.01,PayPal,Pending,Headphones
767,T0768,2023-13-01,C1080,-9,-273.43,Credit Card,Completed,Coffee Machine
770,T0771,2023-13-01,C2886,246,93.49,PayPal,Pending,Headphones
777,T0778,15-Jan-21,C1794,10,-365.73,Credit Card,Pending,Tablet
778,T0779,2025-02-30,C695,-9,168.54,Credit Card,Failed,Headphones
